"key","ticker","title","deadline","salary","score","description","more-info","draft-mode","key:employer","key:contractor"
# ticker
"job-01","REF-JOB-01","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-02","REF-A","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-03","REF-AB","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-04","REF-ABCDEFGHIJ","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-05","REF-ABCDEFGHIJK","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
# title
"job-06","REF-JOB-06","L","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-07","REF-JOB-07","Lo","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-08","REF-JOB-08","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod te","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-09","REF-JOB-09","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tem","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-10","REF-JOB-10","<h1>!</h1>","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-11","REF-JOB-11","' or 'A'='A","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-12","REF-JOB-12","국민경제의 발전을","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-13","REF-JOB-13","العظمى واعتلاء","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
# deadline
"job-14","REF-JOB-14","Lorem ipsum","2022/08/05 23:59","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-15","REF-JOB-15","Lorem ipsum","2022/08/06 00:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-16","REF-JOB-16","Lorem ipsum","2022/08/06 00:01","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-17","REF-JOB-17","Lorem ipsum","2200/12/31 23:58","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-18","REF-JOB-18","Lorem ipsum","2200/12/31 23:59","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-19","REF-JOB-19","Lorem ipsum","2201/01/01 00:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-20","REF-JOB-20","Lorem ipsum","2028/02/28 00:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
# salary
"job-21","REF-JOB-21","Lorem ipsum","2022/09/01 10:00","EUR 0.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-22","REF-JOB-22","Lorem ipsum","2022/09/01 10:00","EUR 0.01","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-23","REF-JOB-23","Lorem ipsum","2022/09/01 10:00","EUR 999999.99","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-24","REF-JOB-24","Lorem ipsum","2022/09/01 10:00","EUR 1000000.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
# score
"job-25","REF-JOB-25","Lorem ipsum","2022/09/01 10:00","EUR 100.00","0","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-26","REF-JOB-26","Lorem ipsum","2022/09/01 10:00","EUR 100.00","0.01","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-27","REF-JOB-27","Lorem ipsum","2022/09/01 10:00","EUR 100.00","99.99","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-28","REF-JOB-28","Lorem ipsum","2022/09/01 10:00","EUR 100.00","100","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-01"
# description
"job-29","REF-JOB-29","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","L","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-30","REF-JOB-30","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lo","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-31","REF-JOB-31","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-32","REF-JOB-32","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor i","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-33","REF-JOB-33","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","<h1>!</h1>","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-34","REF-JOB-34","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","' or 'A'='A","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-35","REF-JOB-35","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","국민경제의 발전을","http://www.lorem-ipsum.org","true","employer-01","company-01"
"job-36","REF-JOB-36","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","العظمى واعتلاء","http://www.lorem-ipsum.org","true","employer-01","company-01"
# more-info
"job-37","REF-JOB-37","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","","true","employer-01","company-01"
"job-38","REF-JOB-38","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","ftp://b.es","true","employer-01","company-01"
"job-39","REF-JOB-39","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","ftp://b.es/","true","employer-01","company-01"
"job-40","REF-JOB-40","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/","true","employer-01","company-01"
"job-41","REF-JOB-41","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X","true","employer-01","company-01"
"job-42","REF-JOB-42","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","https://www.lorem-ipsum.org","true","employer-01","company-01"
"job-43","REF-JOB-43","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","ftp://www.lorem-ipsum.org","true","employer-01","company-01"
"job-44","REF-JOB-44","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org/dolor/sit.html","true","employer-01","company-01"
"job-45","REF-JOB-45","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org/dolor/sit.html#dolor","true","employer-01","company-01"
"job-46","REF-JOB-46","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://example.org?a=1&b=2","true","employer-01","company-01"
"job-47","REF-JOB-47","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://example.org?","true","employer-01","company-01"
"job-48","REF-JOB-48","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://example.org?a","true","employer-01","company-01"
"job-49","REF-JOB-49","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://example.org?a&b","true","employer-01","company-01"
"job-50","REF-JOB-50","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://example.org/","true","employer-01","company-01"
"job-51","REF-JOB-51","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://example.org/a","true","employer-01","company-01"
"job-52","REF-JOB-52","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://example.org/a/b","true","employer-01","company-01"
"job-53","REF-JOB-53","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://example.org/a/b?","true","employer-01","company-01"
"job-54","REF-JOB-54","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://example.org/a/b?a&b","true","employer-01","company-01"
# draft-mode
"job-55","REF-JOB-55","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","false","employer-01","company-01"
# employer
"job-56","REF-JOB-56","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-02","company-01"
# company
"job-57","REF-JOB-57","Lorem ipsum","2022/09/01 10:00","EUR 100.00","50","Lorem ipsum","http://www.lorem-ipsum.org","true","employer-01","company-02"
